I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Mu Persei,,Perseus,63.7244272,48.40933088,5.75,5.12,4.16,2.44,2.16,1.92,0.63,0.96,0.28,0.24,5.52,-17.37,26.46,0.28,276.2430939,15.26204939,G0Ib,,,53,,2030,,5418,,$\mu$
b Persei,,Perseus,64.56090374,50.29550159,,4.639,4.594,4.425,4.454,4.324,,0.045,-0.029,0.13,45.42,-56.72,19.8,0.9,96.15384615,3.235946746,A1III,2.25,,3.2,,,,9000,,b
Lambda Persei,,Perseus,61.64601498,50.35126388,4.27,4.31,4.29,4.19,4.149,4.149,-0.04,0.02,0.041,0,-12.75,-35.6,6.1,2,129.3661061,3.681829669,A0IV,,,3.1,,348,,10585,,$\lambda$
Alpha Persei,Mirfak,Perseus,51.08070872,49.86117929,2.64,2.27,1.79,0.83,0.57,0.54,0.37,0.48,0.26,0.03,23.75,-26.23,-2.158,0.0036,155.2795031,4.098993094,F5Ib,8.5,0.3,68,3,,,6350,100,$\alpha$
Gamma Persei A,,Perseus,46.19912809,53.50643576,4.08,3.63,2.93,1.53,1.003,0.98,0.45,0.7,0.527,0.023,0.51,-5.92,3.13,0.13,74.57121551,2.836041753,G9III,2.7,,,,,,5170,,$\gamma$
Eta Persei A,Miram,Perseus,42.67420663,55.89549655,7.38,5.48,3.79,1.06,0.23,0.11,1.9,1.69,0.83,0.12,16.23,-13.54,-1.784,0.0008,269.541779,15.25708183,K3Ib,,,134,,4130,,3986,170,$\eta$
Tau Persei,,Perseus,43.56445171,52.76246812,5.17,4.71,3.96,2.55,2.309,2.01,0.46,0.75,0.241,0.299,-2.872,-2.739,2.2,0.7,63.62820766,1.275317219,G8III,2.99,0.1,16.08,0.54,191,,5507,83,$\tau$
Iota Persei,,Perseus,47.26674943,49.61327768,4.76,4.64,4.045,3.14,2.875,2.64,0.12,0.595,0.265,0.235,1262.41,-91.5,49.461,0.0006,10.54073996,0.025554656,G0V,1.35,0.08,1.412,0.009,2.181,0.032,5963,5.1,$\iota$
Theta Persei A,,Perseus,41.04994601,49.22844753,4.62,4.62,4.11,3.34,3.07,2.78,0,0.51,0.27,0.29,334.66,-89.99,24.394,0.0013,11.12718371,0.027239128,F8V,1.138,0.01,1.319,0.011,2.235,0.04,6328,86,$\theta$
Theta Persei B,,Perseus,41.0427796,49.23166755,,10.8,9.87,6.688,6.08,5.865,,0.93,0.608,0.215,317.356,-60.899,25.785,0.0012,11.19982618,0.019241899,M1.5V,0.521,0.052,0.498,0.017,,,3685,60,
Phi Persei,,Perseus,25.915158,50.68873134,3.1,4.02,4.06,3.84,3.69,3.36,-0.92,-0.04,0.15,0.33,24.59,-14.01,0.8,0.9,220.2643172,9.703273885,B1.5V,10.1,,6.75,1.767766953,41783,,32090,,$\phi$
Kappa Persei Aa,Misam,Perseus,47.37404816,44.85754065,5.62,4.79,3.81,2.23,1.435,1.65,0.83,0.98,0.795,-0.215,172.99,-143.4,29.4,0.3,34.56619426,0.250912575,G9.5III,1.5,,9,,39.8,,4857,69,$\kappa$
Beta Persei Aa1,Algol,Perseus,47.04221856,40.95564667,1.7,2.07,2.12,2.16,1.95,2.08,-0.37,-0.05,0.21,-0.13,2.99,-1.66,4,0.9,27.57099531,1.064223696,B8V,3.17,0.21,2.73,0.2,182,,13000,,$\beta$
Rho Persei,,Perseus,46.29414104,38.84027619,6.83,5.04,3.39,-0.76,-1.675,-1.92,1.79,1.65,0.915,0.245,129.22,-105.7,30.81,0.11,94.33962264,2.2249911,M4III,1.9,0.7,143,12,2698,263.0437226,3479,125,$\rho$
Alpha Phoenicis A,Ankaa,Phoenix,6.5710475,-42.30598719,4.363,3.46,2.37,0.579,-0.09,-0.17,0.903,1.09,0.669,0.08,233.05,-356.3,74.6,0.9,25.97402597,0.492494518,K0.5III,,,15,,,,4436,,$\alpha$
Epsilon Phoenicis,,Phoenix,2.352663312,-45.7474204,5.73,4.89,3.87,2.182,1.675,1.561,0.84,1.02,0.507,0.114,120.935,-180.438,-9.2,0.7,41.32521706,0.487569353,K0III,,,,,67.21,,4750,,$\epsilon$
Beta Phoenicis,,Phoenix,16.520998,-46.71841069,4.75,4.19,3.3,1.653,1.231,1.174,0.56,0.89,0.422,0.057,-80.81,34.97,-1.1,0.74,50,40,G8III,,,,,,,5090,,$\beta$
Zeta Phoenicis Aa,Wurren,Phoenix,17.09617291,-55.24575803,,3.908,4.014,4.22,4.21,4.2,,-0.106,0.01,0.01,20.87,30.64,15.4,0.9,91.57509158,3.270538985,B6V,3.908,,2.835,,309,,14400,,$\zeta$
Delta Phoenicis,,Phoenix,22.81293646,-49.07270301,5.618,4.918,3.935,2.23,1.748,1.638,0.7,0.983,0.482,0.11,138.38,153.89,-7.3,0.7,43.57298475,0.36073495,G8.5III,1.46,,10.5,,60.14,,4762,26,$\delta$
Gamma Phoenicis,,Phoenix,22.09136361,-43.31823616,6.83,4.98,3.41,0.611,-0.324,-0.497,1.85,1.57,0.935,0.173,-18.06,-208.63,25.8,0.9,71.63323782,1.744649059,M0III,1.3,,52.5,3.535533906,562,,3802,,$\gamma$
Alpha Pictoris,,Pictor,102.0477297,-61.94138911,3.61,3.48,3.3,2.766,2.607,2.57,0.13,0.18,0.159,0.037,-66.07,242.97,15.3,1.3,29.60331557,1.559914201,A8V,2.04,,1.6,,13,,7530,,$\alpha$
Gamma Pictoris,,Pictor,87.45692423,-56.16666132,6.569,5.589,4.494,2.681,2.16,2.036,0.98,1.095,0.521,0.124,81.13,-71.12,17.5,0.2,54.20054201,0.440654813,K1III,1.59,,11,,60.75,,4600,,$\gamma$
Beta Pictoris,,Pictor,86.82119871,-51.06651143,4.13,4.03,3.86,3.57,3.51,3.48,0.1,0.17,0.06,0.03,4.65,83.1,20,0.7,19.44012442,0.045350212,A6V,1.75,,1.8,,8.7,,8052,,$\beta$
Lambda Piscium,,Pisces,355.5116922,1.780041225,4.79,4.72,4.51,4.1,4.204,4.064,0.07,0.21,-0.104,0.14,-129.7,-154.8,10,0.6,32.69042171,0.203046098,A7V,1.806,,2.0403,0.0451,13.3897,0.1692,7734,80,$\lambda$
Kappa Piscium,,Pisces,351.7331491,1.255603979,4.94,4.98,4.94,4.92,4.97,4.96,-0.04,0.04,-0.05,0.01,87.115,-95.721,-4.4,0.6,48.92008903,0.517165142,A2V,2.62,,1.86,,30,,10961,373,$\kappa$
Gamma Piscium,,Pisces,349.2527604,3.282288326,5.2,4.62,3.7,2.046,1.559,1.441,0.58,0.92,0.487,0.118,759.82,17.77,-14.48,0.03,42.30118443,0.322090237,G9III,1.11,0.29,11.28,0.1,62.7,3.3,4833,62,$\gamma$
Theta Piscium,,Pisces,351.9920637,6.378992222,6.41,5.38,4.3,2.525,2.022,1.889,1.03,1.08,0.503,0.133,-123.58,-43.23,5.73,0.12,45.53734062,0.518412348,K0.5III,1.58,,11,,51.3,,4684,23,$\theta$
Iota Piscium,,Pisces,354.9876724,5.62629098,4.64,4.62,4.12,3.299,2.988,2.75,0.02,0.5,0.311,0.238,377.15,-437.43,5.615,0.0005,13.7136588,0.028209666,F7V,1.595,0.014,,,3.555,0.058,6288,37,$\iota$
Omega Piscium A,,Pisces,359.8278777,6.863321164,4.5,4.43,4.01,3.505,3.298,3.1,0.07,0.42,0.207,0.198,150.35,-112.12,2.9,0.3,31.98976328,0.153501743,F4V,1.22,,,,21,,6641,226,$\omega$
Delta Piscium,,Pisces,12.17060138,7.585081278,7.83,5.95,4.44,1.75,1,0.83,1.88,1.51,0.75,0.17,83.1,-49.58,32.45,0.18,95.41984733,2.003088398,K5III,1.65,,44,,447,,3963,4,$\delta$
Epsilon Piscium,,Pisces,15.73586927,7.890134867,5.95,5.24,4.28,2.6,2.235,2,0.71,0.96,0.365,0.235,-80.17,25.59,7.74,0.16,55.74136009,0.652490837,G9III,2.27,,10.9,0.8,67.6,,4814,40,$\epsilon$
Mu Piscium,,Pisces,22.54631015,6.143821581,7.75,6.22,4.84,2.52,1.8,1.66,1.53,1.38,0.72,0.14,292,-45.95,34.409,0.0013,93.19664492,1.650266779,K3III,1.25,,37,,186,,4126,27,$\mu$
Nu Piscium A,,Pisces,25.35789129,5.48761284,7.36,5.81,4.44,2.14,1.41,1.25,1.55,1.37,0.73,0.16,-23.36,3.36,0.482,0.0002,111.3585746,2.852168392,K3III,1.66,,34,3,380,,4154,23,$\nu$
Alpha Piscium A,Alrescha,Pisces,30.51175823,2.763771961,,4.06,4.11,3.75,3.58,3.62,,-0.05,0.17,-0.04,32.692,-2.895,8.5,2,50.50632592,1.706799802,A7IV,2.55,0.11,2.45,,56.5,17.67766953,10245,700.0357134,$\alpha$
Alpha Piscium B,,Pisces,30.51125939,2.763811289,,5.389,5.135,3.75,3.58,3.62,,0.254,0.17,-0.04,41.8,-11,8.8,2,46.16805171,2.259378338,F2IV,2.605,0.346482323,2.66,0.45,64,16.97056275,10000,710,
Omicron Piscium A,Torcular,Pisces,26.34843886,9.157753427,5.9,5.22,4.26,2.69,2.153,2.14,0.68,0.96,0.537,0.013,71.13,53.109,12.16,0.03,76.3288859,1.43671597,G8III,3.03,,14.57,,132,,5004,,$o$
Eta Piscium A,Alpherg,Pisces,22.87087608,15.34582459,5.32,4.6,3.62,2.03,1.605,1.43,0.72,0.98,0.425,0.175,27.14,-2.64,13.78,0.17,107.1811361,8.271213077,G7III,3.78,0.16,26.48,2.15,457,,4937,40,$\eta$
Phi Piscium A,,Pisces,18.43727573,24.58370136,6.57,5.69,4.66,3.01,2.53,2.38,0.88,1.03,0.48,0.15,16.901,-21.415,6.36,0.18,122.6376915,3.050112683,K0III,,,23.28,1.428355698,249.6,7.1,4758.5,146.3711037,$\phi$
Tau Piscium,,Pisces,17.91507946,30.08963916,6.621,5.605,4.511,2.788,2.261,2.148,1.016,1.094,0.527,0.113,71.806,-26.991,29.19,0.16,52.03969588,0.616912002,K0.5III,1.69,,10,,44.7,,4624,5,$\tau$
Upsilon Piscium,,Pisces,19.86663704,27.26405987,4.889,4.789,4.748,4.854,4.599,4.536,0.1,0.041,0.255,0.063,22.98,-11.12,5.8,2.7,94.42870633,2.229195145,A3V,2.84,0.05,2.2,,117,,9183,312,$\upsilon$
Alpha Piscis Austrini,Fomalhaut,Piscis Austrinus,344.4126927,-29.62223703,1.31,1.25,1.16,1.06,1.05,1.05,0.06,0.09,0.01,0,328.95,-164.67,6.5,0.5,7.703566751,0.027892122,A4V,1.92,0.02,1.842,0.019,16.63,0.48,8590,,$\alpha$
TW Piscis Austrini,,Piscis Austrinus,344.1002221,-31.5655653,8.6,7.58,6.48,4.533,3.804,3.805,1.02,1.1,0.729,-0.001,329.577,-158.293,7.153,0.0003,7.60814985,0.004954866,K4V,0.725,0.036,0.629,0.051,0.19,,4711,134,TW
Delta Piscis Austrini A,,Piscis Austrinus,343.9870846,-32.53962379,5.892,5.172,4.208,2.546,2.069,1.951,0.72,0.964,0.477,0.118,11.499,32.641,-10.69,0.14,52.68814938,0.71011131,G8III,1.42,,,,52,,4828,29,$\delta$
Gamma Piscis Austrini A,,Piscis Austrinus,343.1313452,-32.87547336,4.28,4.46,4.51,4.45,4.41,4.478,-0.18,-0.05,0.04,-0.068,-25.039,-30.933,16.5,2,62.35774639,1.751764085,A0V,2.63,,,,,,10776,366,$\gamma$
Beta Piscis Austrini,,Piscis Austrinus,337.8763766,-32.34607371,4.32,4.3,4.29,4.27,4.27,4.253,0.02,0.01,0,0.017,59.12,-18.83,5.5,0.5,43.78283713,0.402556734,A1V,2.33,0.07,2.1,,37,,9638,,$\beta$
Mu Piscis Austrini,,Piscis Austrinus,332.0958949,-32.98843841,4.6,4.55,4.5,4.38,4.55,4.309,0.05,0.05,-0.17,0.241,71.315,-33.001,11.6,2,37.37730898,0.630494634,A1.5IV,2.06,,,,24.5,,9034,307,$\mu$
Iota Piscis Austrini,,Piscis Austrinus,326.236706,-33.02578279,4.18,4.29,4.34,4.43,4.596,4.424,-0.11,-0.05,-0.166,0.172,31.1,-94.56,3,1.3,62.61740764,0.666559756,A0V,,,,,87,,9330,,$\iota$
Theta Piscis Austrini A,,Piscis Austrinus,326.933958,-30.89830629,,5.058,5.017,4.928,4.959,4.85,,0.041,-0.031,0.109,-34.4,-0.08,12.8,1.8,98.42519685,3.87500775,A1V,2.32,0.33,,,86,,9716,330,$\theta$
Epsilon Piscis Austrini,,Piscis Austrinus,340.1639362,-27.04360219,3.69,4.071,4.177,4.281,4.365,4.4,-0.381,-0.106,-0.084,-0.035,24.949,-4.682,1.1,2.8,123.4857559,5.462095772,B7III,4.1,0.19,3.2,,661,,11066,,$\epsilon$
Zeta Puppis,Naos,Puppis,120.8960314,-40.00314781,0.89,1.98,2.25,2.76,2.82,2.9,-1.09,-0.27,-0.06,-0.08,-29.71,16.68,-23.9,2.9,332.2259136,11.03740577,O4I,56.1,,20,8.485281374,813000,,40000,,$\zeta$
Rho Puppis,Tureis,Puppis,121.8860368,-24.30432443,3.42,3.24,2.81,2.1,1.98,1.9,0.18,0.43,0.12,0.08,-83.35,46.23,45.8,0.6,19.48178453,0.056930989,F5III,1.85,,3.41,,22,,6920,,$\rho$
Xi Puppis Aa,Azmidi,Puppis,117.3235653,-24.85978624,5.72,4.56,3.3,1.52,1.03,0.89,1.16,1.26,0.49,0.14,-4.81,-0.89,2.8,0.3,367.6470588,28.38451557,G6Ib,9.9,1,,,60000,,4880,150,$\xi$
Omicron Puppis,,Puppis,117.021535,-25.93717008,3.42,4.43,4.49,4.39,4.435,4.165,-1.01,-0.06,-0.045,0.27,-10.09,4.26,15,10,434.7826087,43.47826087,B1IV,15.5,0.8,,,59279,,24200,,$o$
l Puppis,,Puppis,115.951953,-28.95482556,4.06,4.09,3.93,3.4,3.07,2.34,-0.03,0.16,0.33,0.73,-5.09,3.9,20.9,0.4,1694.915254,488.3654122,A4Iab,35,5.656854249,55,,111500,68589.35778,9000,707.1067812,l
k2 Puppis,,Puppis,114.7077946,-26.80384611,,4.26,4.429,4.834,4.995,4.948,,-0.169,-0.161,0.047,-17.545,21.357,33,5,113.5370187,2.596177842,B5IV,6,0.3,3.2,0.707106781,1202,,18500,500,k$^2$
k1 Puppis,,Puppis,114.7057498,-26.80176428,3.76,4.33,4.5,4.959,5.058,4.959,-0.57,-0.17,-0.099,0.099,-22.705,12.708,23.6,0.9,119.1880907,2.770131189,B6V,4.3,0.3,4,1.272792206,490,,13600,1200,k$^1$
p Puppis,,Puppis,113.8453901,-28.36934803,4.13,4.52,4.63,4.976,4.951,4.909,-0.39,-0.11,0.025,0.042,-61.954,-4.716,3.3,7.4,67.96525616,1.14927588,B7V,3.23,,2.1,,120,,12680,,p
Pi Puppis,Ahadi,Puppis,109.2856533,-37.09747117,5.57,4.32,2.7,-0.09,-0.86,-1.07,1.25,1.62,0.77,0.21,-10.05,6.47,15.8,0.6,227.2727273,18.56435644,K4III,11.7,0.2,290,,11825,,4022.5,45.96194078,$\pi$
Nu Puppis,,Puppis,99.4402973,-43.19593338,2.65,3.06,3.17,3.33,3.37,3.39,-0.41,-0.11,-0.04,-0.02,-0.44,-3.87,30.9,1.7,113.8952164,3.372751283,B8III,,,4.2,,1340,,12120,,$\nu$
Beta Pyxidis,,Pyxis,130.0255985,-35.30835143,5.531,4.885,3.954,2.335,1.97,1.844,0.646,0.931,0.365,0.126,9.84,-20.8,-13.4,0.7,127.5510204,3.091159933,G5II,1.2,0.3,24,2,324,15,5124,125,$\beta$
Alpha Pyxidis,,Pyxis,130.8980731,-33.18638605,2.65,3.5,3.68,4.11,4.17,4.247,-0.85,-0.18,-0.06,-0.077,-14.27,10.43,15.3,2,269.541779,10.17138789,B1.5III,10.7,,6.3,1,10000,,24300,,$\alpha$
Gamma Pyxidis,,Pyxis,132.6330118,-27.70984503,6.67,5.27,4.01,1.9,1.268,1.09,1.4,1.26,0.632,0.178,-134.31,87.89,24.5,0.7,63.57279085,0.687054955,K2.5III,1.64,,21.87,,178,,4270,,$\gamma$
Alpha Reticuli,,Reticulum,63.60618391,-62.4738588,4.9,4.27,3.36,1.88,1.42,1.33,0.63,0.91,0.46,0.09,41.97,49.42,35.5,0.06,49.55401388,0.245560029,G8III,3.11,0.06,12.8,0.6,240,,5196,,$\alpha$
Beta Reticuli A,,Reticulum,56.04994182,-64.80688288,6.078,4.968,3.833,1.94,1.37,1.279,1.11,1.135,0.57,0.091,309.653,76.265,47.38,0.59,31.33470162,0.23014881,K2III,1.2,0.2,9.3,0.4,,,4580,80,$\beta$
Delta Reticuli,,Reticulum,59.68645604,-61.40018537,8.15,6.19,4.57,1.57,0.67,0.5,1.96,1.62,0.9,0.17,9.8,-14.3,-1.4,2,161.2903226,6.50364204,M1.5III,,,56,,1100,,3891,,$\delta$
Iota Reticuli,,Reticulum,60.32563175,-61.0788211,8.07,6.37,4.956,2.573,1.903,1.747,1.7,1.414,0.67,0.156,66.79,94.8,60.98,0.17,97.84735812,1.531856879,K4III,,,22.9,4.666904756,179.8,5.1,4341.5,296.2777413,$\iota$
Epsilon Reticuli A,,Reticulum,64.12095506,-59.30215594,6.59,5.52,4.44,2.57,1.81,1.97,1.07,1.08,0.76,-0.16,-47.53,-167.58,29.03,0.52,18.23819077,0.04989474,K2III,1.46,0.01,3.18,0.08,6.2,0.6,4961,28,$\epsilon$
HD 27304,,Reticulum,63.70227702,-62.19181157,,6.57,5.46,3.862,3.18,3.104,,1.11,0.682,0.076,-3.325,97.976,36.4,2,80.17253129,0.543135138,K0III,,,,,,,,,
Alpha Sagittae,Sham,Sagitta,295.0241327,18.01389017,5.59,5.16,4.38,3.06,2.7,2.61,0.43,0.78,0.36,0.09,14.63,-20.16,1.667,0.0024,117.2236745,2.539408846,G1II,4.11,,21,2,340,,5333,,$\alpha$
Beta Sagittae,,Sagitta,295.2622481,17.47604185,6.33,5.43,4.38,2.74,2.21,2.13,0.9,1.05,0.53,0.08,7.682,-32.987,-21.76,0.17,129.4716263,3.253679281,G8III,4.33,,27,3,392,,4850,,$\beta$
Delta Sagittae A,,Sagitta,296.8469439,18.53431118,6.2,5.23,3.82,0.37,-0.436,-0.561,0.97,1.41,0.806,0.125,6.514,0.849,2.5,0.9,132.8038885,8.89603864,M2II,3.3675,0.449012806,108,,1905.5,24.74873734,3660,170,$\delta$
Gamma Sagittae,,Sagitta,299.6892859,19.49214669,6.97,5.04,3.47,0.7,,-0.25,1.93,1.57,,,66.21,22.22,-34,0.2,79.23930269,1.130196076,M0III,1.3,0.4,55.13,3.29,562,75,3862,40,$\gamma$
Eta Sagittarii A,,Sagittarius,274.4068127,-36.7616852,6.37,4.67,3.11,-0.86,-1.44,-1.55,1.7,1.56,0.58,0.11,-129.56,-166.26,0.2,0.8,44.74272931,0.480458838,M2III,,,57,,,,,,$\eta$
Epsilon Sagittarii A,Kaus Australis,Sagittarius,276.0429933,-34.38461647,1.69,1.82,1.85,1.76,1.76,1.76,-0.13,-0.03,0,0,-39.42,-124.2,-15,3.7,43.93673111,0.463304722,B9IV,3.515,0.138,6.8,,363,,9960,,$\epsilon$
Gamma1 Sagittarii Aa,,Sagittarius,271.2551105,-29.58008423,5.99,5.47,4.69,3.26,2.91,2.83,0.52,0.78,0.35,0.08,4.368,-5.769,-28.04,0.07,847.6012884,296.3515269,G0Ib,5.8,,61,,2690,,5927,773.5748186,$\gamma^1$
Gamma2 Sagittarii,Alnasl,Sagittarius,271.4520337,-30.42408985,4.77,4,2.99,1.257,0.767,0.644,0.77,1.01,0.49,0.123,-53.92,-180.9,22,2.9,29.7000297,0.158776518,K0III,,,12,,68,,4760,,$\gamma^2$
Delta Sagittarii A,Kaus Media,Sagittarius,275.2485148,-29.82810164,5.619,4.069,2.668,0.505,-0.156,-0.302,1.55,1.401,0.661,0.146,32.54,-25.57,-20.4,0.1,106.6098081,2.045817213,K2.5III,3.21,,16,,,,4203,69,$\delta$
Lambda Sagittarii,Kaus Borealis,Sagittarius,276.9926697,-25.4216985,4.75,3.85,2.81,1.039,0.516,0.382,0.9,1.04,0.523,0.134,-44.76,-185.66,-43.2,0.8,23.96931927,0.091924523,K1III,2.6,,11.234,0.181,58.79,2.61,4768,36,$\lambda$
Mu Sagittarii Aa,Polis,Sagittarius,273.4408702,-21.05883169,3.6,4.07,3.85,3.272,3.178,3.19,-0.47,0.22,0.094,-0.012,0.3,-0.48,-6,2,1003.814495,172.6093385,B8Iab,22.05,11.24299782,67.9,,200000,,12000,,$\mu$
Mu Sagittarii D,,Sagittarius,273.4300984,-21.04987876,9.23,9.8,9.66,9.4,9.37,9.351,-0.57,0.14,0.03,0.019,0.603,-0.854,,,1003.814495,172.6093385,B2IV,,,,,1660,,20400,,
Mu Sagittarii E,,Sagittarius,273.4544461,-21.06468227,8.43,9.1,10.69,9.075,9.069,9.061,-0.67,-1.59,0.006,0.008,0.932,-0.83,,,1109.877913,101.9954398,B2.5V,,,,,2450,,20900,,
Phi Sagittarii,,Sagittarius,281.4141088,-26.99077623,2.69,3.05,3.14,3.273,3.241,3.28,-0.36,-0.09,0.032,-0.039,50.61,1.22,21.5,2,73.36757153,1.022732105,B8III,3.41,,4.8,,475,,12487,425,$\phi$
Sigma Sagittarii,Nunki,Sagittarius,283.8163604,-26.29672411,1.06,1.923,2.067,2.334,2.409,2.437,-0.863,-0.144,-0.075,-0.028,15.14,-53.43,-11.2,2,69.83240223,1.414203677,B2V,7.8,0.2,4.5,,3300,,18890,,$\sigma$
Tau Sagittarii,,Sagittarius,286.7350221,-27.67044706,5.65,4.51,3.31,1.37,0.72,0.6,1.14,1.2,0.65,0.12,-54.85,-246.012,40.59,0,35.86350351,0.934674915,K1.5III,1.25,,15.71,,87.6,,4459,,$\tau$
Zeta Sagittarii A,Ascella,Sagittarius,285.6530427,-29.88006331,2.735,2.685,2.585,2.319,2.318,2.293,0.05,0.1,0.001,0.025,10.79,21.11,24.7,0.7,27.04164413,0.63618795,A2.5V,5.26,0.37,,,,,8799,,$\zeta$
Rho1 Sagittarii,,Sagittarius,290.4181642,-17.84719912,4.29,4.15,3.93,3.5,3.4,3.36,0.14,0.22,0.1,0.04,-25.87,21.46,1.2,2,38.925652,0.287889213,A9IV,1.91,,3.3,0.353553391,30.7,0.8,7439,326.6833329,$\rho^1$
Rho2 Sagittarii,,Sagittarius,290.4620647,-18.30839001,,6.906,5.845,3.913,3.305,3.257,,1.061,0.608,0.048,102.302,-92.909,-12.7,2,93.8227126,0.602104776,K0III,,,,,60.4,,4721,,$\rho^2$
d Sagittarii,,Sagittarius,289.4086628,-18.95290629,6.705,5.895,4.878,3.025,2.578,2.494,0.81,1.017,0.447,0.084,-10.341,-10.892,15.2,0.9,143.5111436,3.861646565,G8II,3.3,,23.99,,277,,4813,,d
Pi Sagittarii A,,Sagittarius,287.4409705,-21.02361398,3.46,3.22,2.88,2.11,1.89,1.85,0.24,0.34,0.22,0.04,-1.36,-36.45,-9.8,0.74,156.25,10.49804688,F2II,5.9,0.3,,,,,6590,50,$\pi$
Omicron Sagittarii,,Sagittarius,286.1707574,-21.7414957,5.63,4.77,3.77,2.064,1.568,1.455,0.86,1,0.496,0.113,76.35,-58.12,26.1,0.6,43.55400697,0.455268366,G9III,1.8,,12.15,0.325269119,66.7,1.1,4732.5,64.34671709,$o$
Xi1 Sagittarii,,Sagittarius,284.3353199,-20.6563533,5,5.14,5.054,4.798,4.563,4.504,-0.14,0.086,0.235,0.059,-1.008,-4.782,2.6,0.5,617.5507936,71.84991633,B9Ib,7.8,0.1,15,,2753,,9400,,$\xi^1$
Xi2 Sagittarii,,Sagittarius,284.4324962,-21.10665591,5.82,4.69,3.51,1.64,1.04,0.94,1.13,1.18,0.6,0.1,31.72,-13.33,-20.1,0.7,111.9820829,6.646193048,G8II,3.36,,14,,676,,4541,64,$\xi^2$
Nu Scorpii Aa,Jabbah,Scorpius,242.9988889,-19.46069033,3.42,4.359,4.349,3.81,3.795,3.77,-0.939,0.01,0.015,0.025,-6.865,-28.255,2.4,5,135.9693253,6.455889974,B2V,,,,,,,,,$\nu$
Nu Scorpii B,,Scorpius,242.9989087,-19.46032969,,6.72,6.6,,,,,0.12,,,-8.577,-26.541,,,134.7127923,5.211972459,,,,,,,,,,
Nu Scorpii CD,,Scorpius,242.9939221,-19.45017671,,6.61,6.6,,,,,0.01,,,-11.944,-24.396,-3,10,141.1094021,1.330112473,B8V,,,,,,,,,
Beta1 Scorpii A,Acrab,Scorpius,241.3592999,-19.80545278,1.68,2.55,2.62,2.67,2.8,2.77,-0.87,-0.07,-0.13,0.03,-5.2,-24.04,-1,0.9,123.9157373,11.97698576,B1V,15,,6.3,,31600,,28000,,$\beta^1$
Beta2 Scorpii A,,Scorpius,241.3607174,-19.80190626,4.19,4.87,4.89,,4.47,4.925,-0.68,-0.02,,-0.455,-21.653,-14.448,-5.6,0.8,129.01894,6.734925829,B2V,8.2,,2.9,,3200,,24000,,$\beta^2$
Delta Scorpii A,Dschubba,Scorpius,240.0833553,-22.62170642,1.3,2.2,2.32,2.58,2.61,2.72,-0.9,-0.12,-0.03,-0.11,-10.21,-35.41,-6,0.5,150.6024096,20.18616635,B0.3IV,13,,6.7,,38000,,27400,,$\delta$
Pi Scorpii Aa,Fang,Scorpius,239.7129718,-26.11410795,1.82,2.71,2.91,3.35,3.44,3.5,-0.89,-0.2,-0.09,-0.06,-11.42,-26.83,-7.4,1.3,179.5332136,20.62859187,B1V,12.5,0.6,5,,21900,,25230,,$\pi$
Rho Scorpii Aa,Iklil,Scorpius,239.221151,-29.21407255,2.84,3.66,3.86,4.34,4.518,4.457,-0.82,-0.2,-0.178,0.061,-15.68,-24.88,-0.4,5,144.7178003,3.979215927,B2IV,7.94,0.55,5,,3432,,21150,,$\rho$
Sigma Scorpii Aa1,Alniyat,Scorpius,245.2971488,-25.59279208,2.32,3.02,2.89,2.49,2.4,2.4,-0.7,0.13,0.09,0,-10.6,-16.28,-0.4,0.9,213.6752137,27.39425816,O9.5V,18.4,5.4,12.7,1.8,29000,8000,26150,1070,$\sigma$
Alpha Scorpii A,Antares,Scorpius,247.3519154,-26.43200261,4.08,2.75,0.91,-2.73,-3.49,-3.79,1.33,1.84,0.76,0.3,-12.11,-23.3,-3.5,0.8,169.7792869,28.82500627,M0.5Iab,12.65,2.333452378,680,129.2,86800,59538.39098,3660,120,$\alpha$
Alpha Scorpii B,,Scorpius,247.3508333,-26.43083333,,5,5.2,,,,,-0.2,,,,,1.8,2,169.7792869,28.82500627,B2.5V,7.2,,5.2,,2754,,18500,,
Tau Scorpii,Paikauhale,Scorpius,248.9706369,-28.21601709,1.55,2.56,2.81,3.42,3.5,3.57,-1.01,-0.25,-0.08,-0.07,-9.89,-22.83,2,0.9,145.3488372,11.19693077,B0.2V,15,0.1,6.5,,20400,,31440,,$\tau$
Epsilon Scorpii,Larawag,Scorpius,252.5408784,-34.29323159,4.61,3.45,2.29,0.383,-0.157,-0.285,1.16,1.16,0.54,0.128,-614.85,-255.98,-2.5,0.5,19.53506544,0.083956132,K1III,1.24,,12.6,,,,4560,,$\epsilon$
Mu1 Scorpii A,Xamidimura,Scorpius,252.9675654,-38.04739873,1.98,2.82,2.98,3.458,3.482,3.696,-0.84,-0.16,-0.024,-0.214,-0.84,-18.506,-7.6,3.9,268.3483161,49.39222059,B1V,8.49,0.05,4.07,0.05,,,23725,500,$\mu^1$
