I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Delta Cassiopeiae Aa,Ruchbah,Cassiopeia,21.45396446,60.23528403,2.93,2.81,2.68,2.34,2.367,2.25,0.12,0.13,-0.027,0.117,296.57,-49.22,6.7,1.78,30.47851265,0.130051563,A5IV,2.49,,3.9,,72.88,,7980,,$\delta$
Epsilon Cassiopeiae,Segin,Cassiopeia,28.59885907,63.67010339,2.61,3.22,3.37,3.67,3.74,3.79,-0.61,-0.15,-0.07,-0.05,32.982,-19.232,-8.3,0.8,140.6094011,7.291546161,B3V,9.2,0.2,18.97,2.630437226,717.5,41.6,15174,,$\epsilon$
Alpha Centauri A,Rigil Kentaurus,Centaurus,219.9020583,-60.83399269,0.96,0.72,0.01,-1.15,-1.38,-1.49,0.24,0.71,0.23,0.11,-3679.25,473.67,-21.4,0.76,1.34589502,0.002354863,G2V,1.1,,1.2234,0.0053,1.519,,5790,,$\alpha$
Alpha Centauri B,Toliman,Centaurus,219.8960963,-60.83752756,2.89,2.21,1.33,-0.01,-0.49,-0.6,0.68,0.88,0.48,0.11,-3614.39,802.98,-22.586,0.0001,1.34589502,0.002354863,K1V,0.907,,0.8632,0.0037,0.5002,,5260,,
Alpha Centauri C,Proxima Centauri,Centaurus,217.428938,-62.67949189,14.21,12.95,11.13,5.357,4.835,4.384,1.26,1.82,0.522,0.451,-3781.306,769.766,-22.4,0.5,1.301235497,0.000343722,M5.5V,0.1221,0.0022,0.1542,0.0045,0.0017,,3042,117,
Beta Centauri Aa,Hadar,Centaurus,210.9558556,-60.37303517,,,0.58,1.167,1.209,1.278,,,-0.042,-0.069,-33.27,-23.16,5.9,3.8,120.1923077,7.223095414,B1III,12.02,0.13,9,,35000,21354.62479,25000,2000,$\beta$
Epsilon Centauri,,Centaurus,204.9719073,-53.46639114,1.16,2.08,2.3,2.82,2.92,2.99,-0.92,-0.22,-0.1,-0.07,-15.3,-11.72,3,2,131.061599,8.245028505,B1III,11.6,1.06,,,15217,,24000,,$\epsilon$
Zeta Centauri,,Centaurus,208.8849402,-47.2883745,1.42,2.33,2.55,3.09,3.083,3.29,-0.91,-0.22,0.007,-0.207,-57.37,-44.55,6.5,2,117.0960187,1.782492088,B2.5IV,7.8,0.1,5.8,0.53,,,23561,283,$\zeta$
Upsilon1 Centauri,,Centaurus,209.6697862,-44.80358582,2.87,3.67,3.87,4.34,4.45,4.469,-0.8,-0.2,-0.11,-0.019,-27.51,-22.44,4.8,2,131.061599,2.748342835,B2IV,7.9,0.1,3.74,0.34,1884,,21411,377,$\upsilon^1$
Phi Centauri,,Centaurus,209.5677783,-42.10075398,2.79,3.608,3.802,4.628,4.461,4.491,-0.818,-0.194,0.167,-0.03,-22.77,-20.13,5.3,1.5,161.0305958,4.408244974,B2IV,8.5,0.3,4.19,0.35,4000,,21638,388,$\phi$
Eta Centauri,,Centaurus,218.8767673,-42.15782522,1.3,2.12,2.31,2.84,2.91,2.96,-0.82,-0.19,-0.07,-0.05,-34.73,-32.72,0,1.6,93.72071228,1.844550101,B2V,12,0.3,6.1,0.12,8700,,25700,,$\eta$
Kappa Centauri A,,Centaurus,224.7903539,-42.10419637,2.15,2.93,3.11,3.416,3.356,3.378,-0.78,-0.18,0.06,-0.022,-17.62,-22.51,8,0.9,117.5088132,7.456493432,B2IV,7.2,0.5,4.4,0.7,2500,,19800,900,$\kappa$
Chi Centauri,,Centaurus,211.5115344,-41.17963299,3.4,4.155,4.343,4.881,4.969,4.931,-0.755,-0.188,-0.088,0.038,-22.9,-21.69,12.1,2,156.4945227,5.143012483,B2V,8.2,0.2,,,1600,,20800,300,$\chi$
Psi Centauri A,,Centaurus,215.1393012,-37.88529309,3.91,4.006,4.034,4.11,3.98,4.07,-0.096,-0.028,0.13,-0.09,-63.69,-10.65,1.8,0.9,79.36507937,1.259763165,A0IV,3.114,,3.634,,141,,10450,,$\psi$
Theta Centauri,Menkent,Centaurus,211.6706147,-36.36995475,3.94,3.04,2.05,0.334,-0.153,-0.273,0.9,0.99,0.487,0.12,-520.53,-518.06,1.3,0.5,18.0342651,0.065046944,K0III,1.27,,10.6,,60,,4980,,$\theta$
Nu Centauri ,,Centaurus,207.3761518,-41.68770891,2.31,3.188,3.386,4.014,4.139,4.24,-0.878,-0.198,-0.125,-0.101,-26.77,-20.18,9,0.9,133.8688086,3.046545844,B2IV,8.5,0.3,6.4,,5000,,22400,,$\nu$
Mu Centauri,,Centaurus,207.4041193,-42.47373044,2.37,3.27,3.43,3.98,3.92,3.92,-0.9,-0.16,0.06,0,-24.25,-18.64,9.2,2.7,155.0387597,3.845922721,B2V,9.1,0.2,3.8,0.565685425,2089,,22410,,$\mu$
d Centauri,,Centaurus,202.7610691,-39.40730528,6.08,5.04,3.88,2,1.442,1.32,1.04,1.16,0.558,0.122,-15.67,-10.49,-2.4,0.74,277.7777778,37.80864198,G8II,7.5,0.5,,,,,4683,,d
Iota Centauri,,Centaurus,200.1492201,-36.71230458,2.77,2.76,2.73,2.71,2.72,2.72,0.01,0.03,-0.01,0,-339.615,-82.181,0.1,0.6,17.8389535,0.354729043,A3V,2.5,,,,26,,8600,,$\iota$
l Centauri,,Centaurus,189.9688683,-39.98730294,4.16,4.56,4.64,4.88,4.903,4.785,-0.4,-0.08,-0.023,0.118,-43.38,-25.25,15.1,2,111.8568233,3.002867739,B8II,4,0.2,3.7,,385,,12900,,l
Gamma Centauri,Muhlifain,Centaurus,190.3793337,-48.95987153,2.15,2.16,2.17,2.13,2.18,2.18,-0.01,-0.01,-0.05,0,-185.72,5.79,-5.5,1.78,39.90422985,0.445857317,A1IV,2.91,,,,,,9082,,$\gamma$
Sigma Centauri,,Centaurus,187.0099253,-50.23063534,2.95,3.72,3.91,4.36,4.44,4.478,-0.77,-0.19,-0.08,-0.038,-32.36,-12.51,8,4.1,126.2626263,2.869605142,B2V,6.8,0.1,4.5,,1101,,15744,,$\sigma$
Delta Centauri,,Centaurus,182.0895735,-50.72242739,1.51,2.39,2.52,2.7,2.61,2.46,-0.88,-0.13,0.09,0.15,-49.94,-7.19,11,4,127.2264631,7.60768927,B2V,8.7,0.3,6.5,,5129,,22360,,$\delta$
Pi Centauri,,Centaurus,170.2516923,-54.49101817,,3.923,4.08,4.139,4.17,4.307,,-0.157,-0.031,-0.137,-35.85,-1.72,9.4,3.7,109.6491228,4.087796245,B5V,6.43,,,,,,16760,,$\pi$
Rho Centauri,,Centaurus,182.9130335,-52.36844631,3.2,3.81,3.96,4.32,4.39,4.42,-0.61,-0.15,-0.07,-0.03,-43.741,-11.771,15,4.1,84.49656944,2.674520475,B3V,6.6,0.1,3.8,,810.42,,19500,,$\rho$
Omicron1 Centauri,,Centaurus,172.9419491,-59.44205966,,6.134,5.097,3.21,2.85,2.73,,1.037,0.36,0.12,-4.069,1.353,-20.8,0.6,4122.011542,1896.193273,G3Ia,17,,270,,68000,,4873,,$o^1$
Theta Cephei,,Cepheus,307.3952716,62.99406155,4.58,4.42,4.22,3.87,3.85,3.77,0.16,0.2,0.02,0.08,52.416,-2.544,-6.8,5,38.81821817,0.875180839,A7III,,,3.145,0.431335137,25.37,0.66,7326.5,502.7529214,$\theta$
